GazePointX	GazePointY	RecordingTimestamp	Duration
853.0455	361.81818	53	73
854.0	363.3846	133	86
858.0476	359.07144	223	279
728.0769	129.35898	556	130
570.7959	81.734695	713	163
657.09753	77.85366	889	273
693.0	85.78378	1169	123
669.2685	84.87963	1296	360
719.45	85.95	1693	66
720.2917	84.97222	1769	240
799.2857	94.35714	2106	46
797.0	89.13333	2169	50
799.94446	89.52778	2249	120
901.72	71.54	2502	167
900.2857	71.46429	2672	93
897.7442	72.93023	2769	143
942.2879	74.63636	2932	440
975.5	75.1875	3379	53
976.13635	80.40909	3469	73
976.375	82.875	3652	53
977.03845	80.11539	4006	86
548.9643	101.92857	4206	93
567.0	118.77778	4465	60
565.1429	112.78571	4625	47
575.375	116.875	4709	53
573.5714	115.14286	4909	69
666.5	115.75	5249	53
667.4643	114.0	5382	93
800.2308	120.23077	6559	43
853.7	118.0	6675	67
852.1039	118.77922	6745	256
899.3241	118.39815	7009	359
936.4127	122.666664	7372	209
984.49054	123.20755	7668	177
1045.25	134.3125	8342	53
1044.579	132.05263	8505	63
1077.8	132.05714	8658	117
1079.0	136.0	8882	43
1107.6	129.96	8928	83
1108.6757	131.40541	9018	123
1154.7177	126.32353	9192	566
1231.9634	124.61539	9771	910
1292.1666	118.53333	10688	100
1292.2134	122.706665	10791	250
1291.2858	126.71429	11045	93
1345.1047	122.03809	11218	350
1298.2222	122.95238	11575	209
1348.7234	127.92553	11835	312
1373.0513	127.089745	12151	260
1370.6875	124.3125	12414	107
668.9054	145.2973	12578	246
552.438	141.17355	12844	403
609.98	147.14	13268	166
613.4706	147.76471	13438	113
663.2857	150.03896	13558	256
664.9375	152.25	13818	53
681.4853	150.01471	13958	226
745.9167	151.4375	14201	159
792.2308	153.0	14607	130
820.4737	154.5	14747	127
818.0	154.52942	14877	57
787.3571	155.85715	14937	47
835.2143	148.92857	15261	46
832.1	155.2	15311	66
831.11676	155.49635	15381	456
882.93335	158.73334	15841	149
885.96295	157.25926	15994	90
909.65515	156.94254	16087	290
950.61536	165.55385	16404	216
1097.7637	152.05455	17420	183
1129.6571	152.18571	17614	233
1181.5	152.21428	17860	47
1181.3529	157.17647	17940	113
1217.7946	156.34247	18064	243
1248.7142	158.83333	18310	140
1303.2593	159.03703	18910	90
1332.2885	158.48077	19007	173
1334.6444	158.51111	19183	150
1366.2124	158.74336	19337	376
538.9762	158.35715	19787	139
540.1875	159.625	19930	106
573.02704	165.67567	20043	247
618.87274	167.41212	20310	550
687.2414	174.65517	20876	97
686.2093	168.22093	20976	287
713.4136	166.54938	21306	540
712.3684	166.36842	21850	63
739.2368	171.28947	21916	127
740.8387	173.7258	22046	207
784.25	172.40625	22256	107
785.0714	171.14285	22373	46
785.4706	169.29411	22440	56
743.7742	169.2742	22506	207
744.0909	172.0	22716	73
740.1539	172.92308	22796	43
741.1429	170.5	22910	46
775.619	170.14285	23050	69
775.1177	171.23529	23126	57
800.52	168.68	23209	84
842.68335	171.13333	23426	200
874.2222	175.34921	23633	209
877.2973	176.48648	23846	123
946.1111	180.77777	23986	90
943.7907	180.86046	24116	143
1003.53845	170.46153	24396	43
1052.1538	172.57692	24693	86
1051.7778	173.69444	24786	120
1078.8182	175.5	24913	73
1078.875	175.5625	25043	53
1080.2667	174.66667	25099	100
1097.705	176.63934	25283	203
1131.0171	176.41478	25493	586
1186.1549	177.56339	26092	237
1186.1387	174.54456	26352	337
1263.2667	171.83809	26712	350
1262.125	170.025	27106	133
1322.875	173.96875	27272	107
1322.4667	173.56667	27409	100
1325.1428	170.5	27512	47
1322.6666	171.61905	27562	70
1313.4667	164.93333	27662	50
1316.9086	168.0	27716	546
1343.0822	178.09589	28265	487
1374.8276	179.96552	28829	193
1376.15	179.8	29025	67
1284.4419	167.1628	29185	287
552.3937	181.98425	29539	423
588.0526	190.89473	29969	126
589.96	189.52	30099	83
634.0769	190.84616	30229	43
637.9859	189.19719	30275	236
679.8	189.05	30522	66
680.37036	191.72223	30592	179
727.7059	194.2451	30778	340
728.0714	194.35715	31122	46
746.0	192.57143	31238	47
746.13336	193.8	31288	50
745.5921	193.48685	31342	253
788.03	193.67	31602	333
792.28815	191.67796	31938	197
833.075	195.0	32142	266
833.625	196.8125	32412	53
878.2313	193.99254	32472	446
928.807	197.7193	32931	380
990.6	187.72308	33331	217
967.74445	188.96666	33551	300
993.8205	189.1282	33861	130
993.59375	190.23438	33995	213
994.1814	193.11765	34211	680
650.0741	212.55556	34965	179
572.61536	215.6923	35158	43
571.7373	214.55933	35238	393
623.3684	217.10527	35668	63
624.7679	217.92857	35734	187
681.3281	215.54688	35938	213
623.875	214.125	36158	53
625.5	216.0875	36214	267
698.4722	215.69444	36494	120
698.35297	212.76471	36621	113
